transport_type,stop,line,delay,theoretical_time,expectedArrivalTime,date,direction,date_year,date_month,date_weekday,date_hour,date_minute,date_seconde,temp,humidity,visibility,wind,rain
0,6608G,82,,,,2020-11-08 00:04:46.759539,,2020,11,6,0,4,46,280.2,87,10000,1,0
0,0089,39,,,,2020-11-08 00:05:47.824055,,2020,11,6,0,5,47,280.2,87,10000,1,0
0,0089,44,,,,2020-11-08 00:05:47.824463,,2020,11,6,0,5,47,280.2,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:05:49.954549,,2020,11,6,0,5,49,280.2,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:05:52.073463,,2020,11,6,0,5,52,280.2,87,10000,1,0
0,0089,39,,,,2020-11-08 00:06:53.323157,,2020,11,6,0,6,53,280.2,87,10000,1,0
0,0089,44,,,,2020-11-08 00:06:53.323567,,2020,11,6,0,6,53,280.2,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:06:55.456602,,2020,11,6,0,6,55,280.2,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:06:57.583531,,2020,11,6,0,6,57,280.2,87,10000,1,0
0,0089,39,,,,2020-11-08 00:08:00.409982,,2020,11,6,0,8,0,280.2,87,10000,1,0
0,0089,44,,,,2020-11-08 00:08:00.410413,,2020,11,6,0,8,0,280.2,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:08:02.545728,,2020,11,6,0,8,2,280.2,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:08:04.686555,,2020,11,6,0,8,4,280.2,87,10000,1,0
0,0089,39,,,,2020-11-08 00:09:06.518952,,2020,11,6,0,9,6,280.2,87,10000,1,0
0,0089,44,,,,2020-11-08 00:09:06.519365,,2020,11,6,0,9,6,280.2,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:09:08.658806,,2020,11,6,0,9,8,280.2,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:09:10.792482,,2020,11,6,0,9,10,280.2,87,10000,1,0
0,0089,39,,,,2020-11-08 00:10:15.720483,,2020,11,6,0,10,15,280.2,87,10000,1,0
0,0089,44,,,,2020-11-08 00:10:15.720893,,2020,11,6,0,10,15,280.2,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:10:17.852637,,2020,11,6,0,10,17,280.2,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:10:19.978322,,2020,11,6,0,10,19,280.2,87,10000,1,0
0,0089,39,,,,2020-11-08 00:11:24.459227,,2020,11,6,0,11,24,280.2,87,10000,1,0
0,0089,44,,,,2020-11-08 00:11:24.459829,,2020,11,6,0,11,24,280.2,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:11:26.602516,,2020,11,6,0,11,26,280.2,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:11:28.736207,,2020,11,6,0,11,28,280.2,87,10000,1,0
0,0089,39,,,,2020-11-08 00:12:29.521218,,2020,11,6,0,12,29,280.2,87,10000,1,0
0,0089,44,,,,2020-11-08 00:12:29.521907,,2020,11,6,0,12,29,280.2,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:12:31.655351,,2020,11,6,0,12,31,280.2,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:12:33.789519,,2020,11,6,0,12,33,280.2,87,10000,1,0
0,0089,39,,,,2020-11-08 00:13:34.628978,,2020,11,6,0,13,34,281.44,87,10000,1,0
0,0089,44,,,,2020-11-08 00:13:34.629662,,2020,11,6,0,13,34,281.44,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:13:36.769551,,2020,11,6,0,13,36,281.44,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:13:38.898028,,2020,11,6,0,13,38,281.44,87,10000,1,0
0,0089,39,,,,2020-11-08 00:14:39.949765,,2020,11,6,0,14,39,281.44,87,10000,1,0
0,0089,44,,,,2020-11-08 00:14:39.950492,,2020,11,6,0,14,39,281.44,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:14:42.090714,,2020,11,6,0,14,42,281.44,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:14:44.223174,,2020,11,6,0,14,44,281.44,87,10000,1,0
0,0089,39,,,,2020-11-08 00:15:46.665529,,2020,11,6,0,15,46,281.44,87,10000,1,0
0,0089,44,,,,2020-11-08 00:15:46.666241,,2020,11,6,0,15,46,281.44,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:15:48.798679,,2020,11,6,0,15,48,281.44,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:15:50.931800,,2020,11,6,0,15,50,281.44,87,10000,1,0
