transport_type,trip,stop,line,delay,theoretical_time,expectedArrivalTime,date,direction,year,month,day,hour,minute,temp,humidity,visibility,wind,rain
0,,5501,44,,,,2020-11-26 00:10:13.705443,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5502,39,,,,2020-11-26 00:10:13.883511,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5502,44,,,,2020-11-26 00:10:13.884098,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5503,39,,,,2020-11-26 00:10:14.062416,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5503,44,,,,2020-11-26 00:10:14.063008,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5504,39,,,,2020-11-26 00:10:14.242035,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5504,44,,,,2020-11-26 00:10:14.242622,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5281G,39,,,,2020-11-26 00:10:14.422862,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5281G,44,,,,2020-11-26 00:10:14.423303,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5281G,8,,,,2020-11-26 00:10:14.772787,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5507,39,,,,2020-11-26 00:10:14.952202,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5507,44,,,,2020-11-26 00:10:14.952818,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5508,39,,,,2020-11-26 00:10:15.131619,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5508,44,,,,2020-11-26 00:10:15.311032,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5509,39,,,,2020-11-26 00:10:15.489746,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5510,39,,,,2020-11-26 00:10:15.668349,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5512,39,,,,2020-11-26 00:10:18.295368,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,6474F,39,,,,2020-11-26 00:10:18.475496,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5529,39,,,,2020-11-26 00:10:18.654294,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5532,39,,,,2020-11-26 00:10:18.833606,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5515,39,,,,2020-11-26 00:10:19.012880,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5516,39,,,,2020-11-26 00:10:19.191733,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5517,39,,,,2020-11-26 00:10:19.371316,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5518,39,,,,2020-11-26 00:10:19.550667,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,5519,39,,,,2020-11-26 00:10:19.729650,,2020,11,3,0,10,280.97,81,10000,3.6,0
0,,0089,39,,,,2020-11-26 00:12:51.043084,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,0089,44,,,,2020-11-26 00:12:51.043523,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5501,39,,,,2020-11-26 00:12:51.222594,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5501,44,,,,2020-11-26 00:12:51.223182,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5502,39,,,,2020-11-26 00:12:51.401326,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5502,44,,,,2020-11-26 00:12:51.401911,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5503,39,,,,2020-11-26 00:12:51.580583,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5503,44,,,,2020-11-26 00:12:51.581170,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5504,39,,,,2020-11-26 00:12:51.759223,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5504,44,,,,2020-11-26 00:12:51.759807,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5281G,39,,,,2020-11-26 00:12:51.939813,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5281G,44,,,,2020-11-26 00:12:51.940270,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5281G,8,,,,2020-11-26 00:12:52.288703,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5507,39,,,,2020-11-26 00:12:52.467450,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5507,44,,,,2020-11-26 00:12:52.468034,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5508,39,,,,2020-11-26 00:12:52.646863,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5508,44,,,,2020-11-26 00:12:52.647446,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5509,39,,,,2020-11-26 00:12:52.826253,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5510,39,,,,2020-11-26 00:12:53.004868,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5512,39,,,,2020-11-26 00:12:55.388965,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,6474F,39,,,,2020-11-26 00:12:55.568114,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5529,39,,,,2020-11-26 00:12:55.747370,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5532,39,,,,2020-11-26 00:12:55.926706,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5515,39,,,,2020-11-26 00:12:56.106620,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5516,39,,,,2020-11-26 00:12:56.285963,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5517,39,,,,2020-11-26 00:12:56.464604,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5518,39,,,,2020-11-26 00:12:56.644149,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,5519,39,,,,2020-11-26 00:12:56.823737,,2020,11,3,0,12,280.97,81,10000,3.6,0
0,,0089,39,,,,2020-11-26 00:15:28.387950,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,0089,44,,,,2020-11-26 00:15:28.388716,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5501,39,,,,2020-11-26 00:15:28.569802,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5501,44,,,,2020-11-26 00:15:28.570390,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5502,39,,,,2020-11-26 00:15:28.749216,,2020,11,3,0,15,280.97,81,10000,3.6,0
